['oscillation number 1:', 0.01296285724056297]
['oscillation number 2:', 0.016555368295985425]
['oscillation number 3:', 0.009553632329474402]
['oscillation number 4:', 0.011214484676748796]
['oscillation number 5:', 0.00643033487133669]
['oscillation number 6:', 0.009360991158775029]
['oscillation number 7:', 0.005369188951071069]
['oscillation number 8:', 0.006845957277634805]
['oscillation number 9:', 0.003097839566160888]
['oscillation number 10:', 0.0051776037059855584]
['oscillation number 11:', 0.0027904495352834074]
['oscillation number 12:', 0.005570078799107941]
['oscillation number 13:', 0.0026694155448363007]
['oscillation number 14:', 0.004737626790655394]
['oscillation number 15:', 0.0024403330761260077]
['oscillation number 16:', 0.004126720433540062]
['oscillation number 17:', 0.0013747973527466091]
['oscillation number 18:', 0.0038310316008274004]
['oscillation number 19:', 0.0013871451570457683]
['oscillation number 20:', 0.0030544783960793674]
