[[ 0.64244039  0.50350478]
 [-0.6215942   0.46795499]
 [ 0.6008454   0.42477463]
 [-0.58235519  0.39356125]
 [ 0.55965022  0.35165528]
 [-0.53947399  0.3308517 ]
 [ 0.52222927  0.2958688 ]
 [-0.50827937  0.28096462]
 [ 0.48713849  0.25206936]
 [-0.47668427  0.24266277]
 [ 0.4548518   0.21961974]
 [-0.44693088  0.21062217]
 [ 0.42569224  0.19063429]
 [-0.41799968  0.18153354]
 [ 0.3955187   0.16407537]
 [-0.39350511  0.15705141]
 [ 0.36582052  0.14198097]
 [-0.36794587  0.13842251]
 [ 0.34007237  0.12553809]
 [-0.34171768  0.11924902]
 [ 0.30857123  0.10614103]]
