[[ 0.          0.50604947]
 [ 1.09       -0.60838765]
 [ 2.16        0.60114587]
 [ 3.21       -0.56356875]
 [ 4.24        0.56194623]
 [ 5.26       -0.52750071]
 [ 6.27        0.52604342]
 [ 7.27       -0.48884872]
 [ 8.26        0.49227784]
 [ 9.25       -0.45950996]
 [10.24        0.46329957]
 [11.22       -0.43273408]
 [12.2         0.43289261]
 [13.17       -0.4010382 ]
 [14.13        0.40314628]
 [15.1        -0.37119378]
 [16.06        0.37214211]
 [17.02       -0.3448209 ]
 [17.98        0.3462234 ]
 [18.93       -0.31710293]
 [19.88        0.32086981]]
