['oscillation number 1:', 0.011067767372002775]
['oscillation number 2:', 0.0171551132820756]
['oscillation number 3:', 0.009621089959350883]
['oscillation number 4:', 0.01060549144328777]
['oscillation number 5:', 0.00450726594009238]
['oscillation number 6:', 0.009598921453626171]
['oscillation number 7:', 0.004129440331820699]
['oscillation number 8:', 0.009000448917222367]
['oscillation number 9:', 0.0034577144389969384]
['oscillation number 10:', 0.006489686195868526]
['oscillation number 11:', 0.0026980056206565165]
['oscillation number 12:', 0.006207546431144955]
['oscillation number 13:', 0.0023974791062691273]
['oscillation number 14:', 0.005787795237053312]
['oscillation number 15:', 0.0017414022683294218]
['oscillation number 16:', 0.005168853760589813]
['oscillation number 17:', 0.0010425515447788298]
['oscillation number 18:', 0.004786154877645181]
['oscillation number 19:', 0.0013468509169775413]
['oscillation number 20:', 0.003824743504475205]
