[[ 0.          0.50196339]
 [ 1.07       -0.61393051]
 [ 2.12        0.60743637]
 [ 3.17       -0.57324338]
 [ 4.21        0.57110357]
 [ 5.23       -0.5422617 ]
 [ 6.24        0.54036383]
 [ 7.24       -0.50812196]
 [ 8.25        0.5090822 ]
 [ 9.24       -0.47816804]
 [10.23        0.47414383]
 [11.22       -0.44948987]
 [12.2         0.4399298 ]
 [13.18       -0.42030587]
 [14.15        0.4025906 ]
 [15.13       -0.3904635 ]
 [16.08        0.36443626]
 [17.05       -0.35896374]
 [18.01        0.33866327]
 [18.97       -0.33318159]
 [19.91        0.30762631]]
