['oscillation number 1:', 0.011753238094305828]
['oscillation number 2:', 0.01433463512062725]
['oscillation number 3:', 0.007564114236636558]
['oscillation number 4:', 0.012437768568239237]
['oscillation number 5:', 0.006494918366606853]
['oscillation number 6:', 0.008236240550690306]
['oscillation number 7:', 0.004784037094251087]
['oscillation number 8:', 0.008943968761213589]
['oscillation number 9:', 0.004858014174968181]
['oscillation number 10:', 0.00792161031075823]
['oscillation number 11:', 0.003749855836220325]
['oscillation number 12:', 0.006075036664855081]
['oscillation number 13:', 0.0031688624280257136]
['oscillation number 14:', 0.004502888001311311]
['oscillation number 15:', 0.0010356583674568957]
['oscillation number 16:', 0.0037977135884102934]
['oscillation number 17:', 0.0008996990464228715]
['oscillation number 18:', 0.0042453756252727945]
['oscillation number 19:', 0.0016403863732978774]
['oscillation number 20:', 0.0038389985002623157]
