['oscillation number 1:', 0.011884896594721594]
['oscillation number 2:', 0.014150767623989098]
['oscillation number 3:', 0.007994098417716457]
['oscillation number 4:', 0.010640514953536255]
['oscillation number 5:', 0.007520936963712518]
['oscillation number 6:', 0.009642466520865155]
['oscillation number 7:', 0.004777953657638659]
['oscillation number 8:', 0.007565303635993743]
['oscillation number 9:', 0.004151128332069422]
['oscillation number 10:', 0.006582975444203141]
['oscillation number 11:', 0.003940388121775171]
['oscillation number 12:', 0.005693367012775655]
['oscillation number 13:', 0.0023664746387363246]
['oscillation number 14:', 0.004467256444009907]
['oscillation number 15:', 0.001600563740456064]
['oscillation number 16:', 0.004498990568006222]
['oscillation number 17:', 0.0010541222352835166]
['oscillation number 18:', 0.0037971885916865612]
['oscillation number 19:', 0.0004575331617021761]
['oscillation number 20:', 0.003743689349278708]
