[[ 0.          0.50656874]
 [ 1.07       -0.61212466]
 [ 2.13        0.60829509]
 [ 3.18       -0.57482794]
 [ 4.21        0.57627298]
 [ 5.23       -0.53590676]
 [ 6.25        0.53913214]
 [ 7.25       -0.49658401]
 [ 8.25        0.50592774]
 [ 9.25       -0.46173093]
 [10.24        0.47013693]
 [11.22       -0.42922292]
 [12.2         0.43645612]
 [13.17       -0.40029601]
 [14.13        0.40622868]
 [15.1        -0.37472819]
 [16.06        0.37974167]
 [17.02       -0.35262634]
 [17.98        0.35428816]
 [18.95       -0.33056873]
 [19.9         0.32867322]]
