[[ 0.64633345  0.50604947]
 [-0.60838765  0.46234585]
 [ 0.60114587  0.40653026]
 [-0.56356875  0.37432067]
 [ 0.56194623  0.3365116 ]
 [-0.52750071  0.31483205]
 [ 0.52604342  0.28327194]
 [-0.48884872  0.26516999]
 [ 0.49227784  0.24208919]
 [-0.45950996  0.23164498]
 [ 0.46329957  0.21418895]
 [-0.43273408  0.20478109]
 [ 0.43289261  0.18600185]
 [-0.4010382   0.17700205]
 [ 0.40314628  0.16102938]
 [-0.37119378  0.15280192]
 [ 0.37214211  0.13888889]
 [-0.3448209   0.13425383]
 [ 0.3462234   0.1213377 ]
 [-0.31710293  0.11666101]
 [ 0.32086981  0.10636299]]
