[[ 0.          0.50746748]
 [ 1.07       -0.61433558]
 [ 2.13        0.60392756]
 [ 3.17       -0.57231161]
 [ 4.21        0.56210836]
 [ 5.22       -0.52032353]
 [ 6.23        0.52647214]
 [ 7.23       -0.48542028]
 [ 8.24        0.49158676]
 [ 9.21       -0.44936959]
 [10.2         0.46006372]
 [11.19       -0.42297414]
 [12.14        0.4293499 ]
 [13.13       -0.39617443]
 [14.09        0.39637351]
 [15.07       -0.36730145]
 [16.03        0.36737767]
 [16.98       -0.34290444]
 [17.95        0.34077228]
 [18.91       -0.31512648]
 [19.85        0.31183426]]
