['oscillation number 1:', 0.012320145573454863]
['oscillation number 2:', 0.014826832896512527]
['oscillation number 3:', 0.007187486925971629]
['oscillation number 4:', 0.015544052573227803]
['oscillation number 5:', 0.007797491593798734]
['oscillation number 6:', 0.008229904997007138]
['oscillation number 7:', 0.004202527587582276]
['oscillation number 8:', 0.007555245647913408]
['oscillation number 9:', 0.004010791072254337]
['oscillation number 10:', 0.0061285181107638125]
['oscillation number 11:', 0.002660674497690105]
['oscillation number 12:', 0.0056121378586712406]
['oscillation number 13:', 0.0018839462940341543]
['oscillation number 14:', 0.005332848499888453]
['oscillation number 15:', 0.001968746612293306]
['oscillation number 16:', 0.004019627034062444]
['oscillation number 17:', 0.0016315474454065824]
['oscillation number 18:', 0.0035491795461727797]
['oscillation number 19:', 0.0013594508383474207]
['oscillation number 20:', 0.0031492625503392307]
