['oscillation number 1:', 0.011634087566681193]
['oscillation number 2:', 0.015504823157023012]
['oscillation number 3:', 0.007207629596880948]
['oscillation number 4:', 0.015465614503400504]
['oscillation number 5:', 0.006521708029933783]
['oscillation number 6:', 0.009325742226204485]
['oscillation number 7:', 0.003793884375018465]
['oscillation number 8:', 0.008559460567526123]
['oscillation number 9:', 0.003199003765351683]
['oscillation number 10:', 0.006749280762302907]
['oscillation number 11:', 0.0024470571867064037]
['oscillation number 12:', 0.0056774539764881254]
['oscillation number 13:', 0.0022153675308765014]
['oscillation number 14:', 0.005156769937694119]
['oscillation number 15:', 0.002009034920195154]
['oscillation number 16:', 0.004065838610084748]
['oscillation number 17:', 0.001116869725062193]
['oscillation number 18:', 0.004188566234030495]
['oscillation number 19:', 0.0016890924252787659]
['oscillation number 20:', 0.0034385713381209436]
