[[ 0.64482328  0.50353371]
 [-0.61458417  0.46621929]
 [ 0.59502915  0.40838169]
 [-0.5660749   0.37594467]
 [ 0.5556399   0.34018879]
 [-0.53587607  0.32499277]
 [ 0.52212031  0.29263049]
 [-0.50471013  0.27870829]
 [ 0.48490576  0.24836373]
 [-0.47102931  0.23670622]
 [ 0.45613669  0.21482657]
 [-0.4425209   0.20573038]
 [ 0.42094307  0.18480195]
 [-0.41320552  0.17671897]
 [ 0.38594756  0.15720571]
 [-0.38098512  0.15133466]
 [ 0.35410989  0.13390813]
 [-0.35524719  0.13039322]
 [ 0.32137422  0.11425694]
 [-0.32764811  0.1097161 ]
 [ 0.29209625  0.09682117]]
