[[ 0.64459342  0.50196339]
 [-0.61393051  0.47271402]
 [ 0.60743637  0.42742511]
 [-0.57324338  0.39696697]
 [ 0.57110357  0.36165261]
 [-0.5422617   0.34151856]
 [ 0.54036383  0.30977468]
 [-0.50812196  0.29390031]
 [ 0.5090822   0.26898412]
 [-0.47816804  0.25407898]
 [ 0.47414383  0.23214448]
 [-0.44948987  0.21954668]
 [ 0.4399298   0.19771976]
 [-0.42030587  0.18936599]
 [ 0.4025906   0.167429  ]
 [-0.3904635   0.15931572]
 [ 0.36443626  0.14148521]
 [-0.35896374  0.13566867]
 [ 0.33866327  0.123009  ]
 [-0.33318159  0.11832942]
 [ 0.30762631  0.10455107]]
