[[ 0.64605632  0.50656874]
 [-0.61212466  0.46649941]
 [ 0.60829509  0.41879081]
 [-0.57482794  0.39183911]
 [ 0.57627298  0.35596515]
 [-0.53590676  0.33060869]
 [ 0.53913214  0.2980996 ]
 [-0.49658401  0.28199097]
 [ 0.50592774  0.25648493]
 [-0.46173093  0.24248961]
 [ 0.47013693  0.22029544]
 [-0.42922292  0.20701062]
 [ 0.43645612  0.18781572]
 [-0.40029601  0.17983727]
 [ 0.40622868  0.16477614]
 [-0.37472819  0.15937992]
 [ 0.37974167  0.1442118 ]
 [-0.35262634  0.14065788]
 [ 0.35428816  0.12785585]
 [-0.33056873  0.1263133 ]
 [ 0.32867322  0.11369164]]
