[[ 0.          0.50559837]
 [ 1.13       -0.61748425]
 [ 2.19        0.61080525]
 [ 3.24       -0.57819298]
 [ 4.28        0.5782114 ]
 [ 5.3        -0.53911279]
 [ 6.31        0.54167623]
 [ 7.33       -0.50403365]
 [ 8.33        0.51146222]
 [ 9.32       -0.47123999]
 [10.31        0.47928971]
 [11.29       -0.43881226]
 [12.28        0.44514685]
 [13.26       -0.40839537]
 [14.23        0.41310785]
 [15.21       -0.37407512]
 [16.16        0.38009853]
 [17.13       -0.34190587]
 [18.08        0.35161584]
 [19.05       -0.31723836]
 [19.99        0.32564344]]
