[[ 0.64476531  0.50650483]
 [-0.61726634  0.47159328]
 [ 0.59761058  0.41160523]
 [-0.57789189  0.38608427]
 [ 0.55527064  0.34418396]
 [-0.54054498  0.32331957]
 [ 0.51607456  0.28877883]
 [-0.507342    0.27601544]
 [ 0.4837851   0.25058543]
 [-0.47684253  0.24096832]
 [ 0.45239886  0.21931346]
 [-0.44782281  0.21106195]
 [ 0.42232436  0.19121739]
 [-0.42012813  0.18319502]
 [ 0.39219411  0.16572682]
 [-0.39480219  0.16347654]
 [ 0.36413703  0.14717873]
 [-0.366742    0.14151764]
 [ 0.33208593  0.12660493]
 [-0.33709776  0.12311542]
 [ 0.30288874  0.1090602 ]]
