['oscillation number 1:', 0.01035505614172868]
['oscillation number 2:', 0.017792954640593932]
['oscillation number 3:', 0.007569729032105755]
['oscillation number 4:', 0.012427980493728735]
['oscillation number 5:', 0.006188551634428219]
['oscillation number 6:', 0.010245070811145694]
['oscillation number 7:', 0.003785727646259711]
['oscillation number 8:', 0.007542752505538187]
['oscillation number 9:', 0.0028525148259295305]
['oscillation number 10:', 0.006423011611952918]
['oscillation number 11:', 0.0024474665061859323]
['oscillation number 12:', 0.005886061572972364]
['oscillation number 13:', 0.0023795016760848452]
['oscillation number 14:', 0.005181213429221697]
['oscillation number 15:', 0.0006674517669541781]
['oscillation number 16:', 0.004834066019332484]
['oscillation number 17:', 0.0016791263857771673]
['oscillation number 18:', 0.004423233837378134]
['oscillation number 19:', 0.0010350176934889354]
['oscillation number 20:', 0.004168895170347573]
