[[ 0.          0.50350478]
 [ 1.07       -0.6215942 ]
 [ 2.14        0.6008454 ]
 [ 3.18       -0.58235519]
 [ 4.21        0.55965022]
 [ 5.24       -0.53947399]
 [ 6.26        0.52222927]
 [ 7.26       -0.50827937]
 [ 8.25        0.48713849]
 [ 9.25       -0.47668427]
 [10.23        0.4548518 ]
 [11.2        -0.44693088]
 [12.19        0.42569224]
 [13.16       -0.41799968]
 [14.13        0.3955187 ]
 [15.09       -0.39350511]
 [16.05        0.36582052]
 [17.02       -0.36794587]
 [17.98        0.34007237]
 [18.92       -0.34171768]
 [19.88        0.30857123]]
