['oscillation number 1:', 0.008675606452884345]
['oscillation number 2:', 0.013433067441797841]
['oscillation number 3:', 0.009034137690037598]
['oscillation number 4:', 0.010474532938503658]
['oscillation number 5:', 0.005971926715094914]
['oscillation number 6:', 0.009415498869465782]
['oscillation number 7:', 0.004708470192946853]
['oscillation number 8:', 0.007390349219326517]
['oscillation number 9:', 0.004420988512407085]
['oscillation number 10:', 0.006505955162138258]
['oscillation number 11:', 0.003736612274799298]
['oscillation number 12:', 0.00647404603923402]
['oscillation number 13:', 0.00247779767283574]
['oscillation number 14:', 0.0065066937168513205]
['oscillation number 15:', 0.0024064663383196803]
['oscillation number 16:', 0.0052886775890974335]
['oscillation number 17:', 0.0017252341488879928]
['oscillation number 18:', 0.0037549634314648947]
['oscillation number 19:', 0.0013880023550862269]
['oscillation number 20:', 0.004086773225204478]
