['oscillation number 1:', 0.010299421319427626]
['oscillation number 2:', 0.013758627698266617]
['oscillation number 3:', 0.008634036797046569]
['oscillation number 4:', 0.010271391833329377]
['oscillation number 5:', 0.007566605746511964]
['oscillation number 6:', 0.009628715759219504]
['oscillation number 7:', 0.004299177408165506]
['oscillation number 8:', 0.00838775697802965]
['oscillation number 9:', 0.004110359518691594]
['oscillation number 10:', 0.006162429339817925]
['oscillation number 11:', 0.005096605906369576]
['oscillation number 12:', 0.005890279343261428]
['oscillation number 13:', 0.003105204350709236]
['oscillation number 14:', 0.004473126322633028]
['oscillation number 15:', 0.002858942328191426]
['oscillation number 16:', 0.004255199292781518]
['oscillation number 17:', 0.0018316127223180143]
['oscillation number 18:', 0.003376844180957909]
['oscillation number 19:', 0.0015030062984182368]
['oscillation number 20:', 0.0026537012361221683]
