[[ 0.64437316  0.50320524]
 [-0.61389619  0.46357979]
 [ 0.59798716  0.41525129]
 [-0.57578054  0.38974926]
 [ 0.56079345  0.34781595]
 [-0.53530706  0.32591866]
 [ 0.52605423  0.29815059]
 [-0.50391065  0.28202145]
 [ 0.49405424  0.25186731]
 [-0.46808853  0.23548876]
 [ 0.45108182  0.20878145]
 [-0.43132599  0.196139  ]
 [ 0.42109205  0.17565732]
 [-0.39685713  0.16497366]
 [ 0.38597722  0.1497924 ]
 [-0.37538448  0.14630073]
 [ 0.3605715   0.13349693]
 [-0.35113097  0.13046364]
 [ 0.33044674  0.11615057]
 [-0.32564851  0.11062009]
 [ 0.29566006  0.0976771 ]]
