[[ 0.64198621  0.50746748]
 [-0.61433558  0.46593073]
 [ 0.60392756  0.41594281]
 [-0.57231161  0.39171056]
 [ 0.56210836  0.33930457]
 [-0.52032353  0.31301572]
 [ 0.52647214  0.28526901]
 [-0.48542028  0.2711004 ]
 [ 0.49158676  0.24562827]
 [-0.44936959  0.23210609]
 [ 0.46006372  0.2114441 ]
 [-0.42297414  0.20247377]
 [ 0.4293499   0.18355273]
 [-0.39617443  0.1772011 ]
 [ 0.39637351  0.15922167]
 [-0.36730145  0.15258414]
 [ 0.36737767  0.13903217]
 [-0.34290444  0.13353149]
 [ 0.34077228  0.12156561]
 [-0.31512648  0.11698229]
 [ 0.31183426  0.10636471]]
