[[ 0.          0.50353371]
 [ 1.08       -0.61458417]
 [ 2.14        0.59502915]
 [ 3.19       -0.5660749 ]
 [ 4.21        0.5556399 ]
 [ 5.23       -0.53587607]
 [ 6.24        0.52212031]
 [ 7.24       -0.50471013]
 [ 8.25        0.48490576]
 [ 9.23       -0.47102931]
 [10.22        0.45613669]
 [11.21       -0.4425209 ]
 [12.18        0.42094307]
 [13.15       -0.41320552]
 [14.11        0.38594756]
 [15.08       -0.38098512]
 [16.06        0.35410989]
 [17.03       -0.35524719]
 [17.98        0.32137422]
 [18.92       -0.32764811]
 [19.9         0.29209625]]
