mass_A
t	x	y
0.0	0.6461028488228661	0.5065882522024929
0.009999999999999886	0.6461076616595735	0.5065848504423622
0.019999999999999886	0.6460929855370595	0.5065970244551233
0.029999999999999888	0.6461007092462113	0.5066000543695164
0.03999999999999988	0.6461054362190385	0.5065889933989058
0.049999999999999885	0.6461050190606262	0.5066089537568448
0.05999999999999989	0.6461098664523951	0.5065962358565714
0.06999999999999988	0.6461002367034875	0.5066093783642366
0.07999999999999989	0.6461029040515086	0.5065953416272488
0.08999999999999989	0.6461033136172466	0.5066099820678996
0.1	0.6461052777753077	0.5065995195246861
0.11	0.6461071179861745	0.5065754411057812
0.12	0.6461285536245277	0.5065866474863796
0.13	0.6460966432058947	0.5066224136757351
0.13999999999999987	0.6461048922512641	0.5066050430064604
0.14999999999999988	0.6460912268899285	0.5066092488289533
0.1599999999999999	0.6460963840606583	0.5065757067979157
0.16999999999999987	0.6460970800850246	0.5065824002067582
0.17999999999999988	0.6460976211282815	0.5065742062584506
0.1899999999999999	0.6460984074838619	0.5065862190615915
0.1999999999999999	0.6461035673915511	0.5065880209448932
0.20999999999999988	0.6461016045309577	0.5065884873047422
0.22	0.6461022960762134	0.506582282445323
0.23	0.6460997057203456	0.5065693462283802
0.24	0.6461009654839621	0.5065960697735697
0.25	0.64610198129288	0.5065765279577692
0.26	0.6461020199167565	0.5065735251890838
0.27	0.6461050247132484	0.5065705417252816
0.27999999999999986	0.6460835707258291	0.506578319555254
0.28999999999999987	0.6460563246042973	0.5065687394630767
0.2999999999999999	0.646040771481461	0.5064555389587431
0.3099999999999999	0.6449849724270952	0.5047191514167947
0.3199999999999999	0.6446889250345921	0.5035029964779363
0.3299999999999999	0.6437100517903603	0.5009100914650316
0.3399999999999999	0.6426119916744607	0.49796616562753143
0.34999999999999987	0.6406493578267328	0.4939379446010222
0.3599999999999999	0.6389603862462826	0.48999631859707954
0.3699999999999999	0.6367402457460655	0.48477980523260045
0.3799999999999999	0.6344737778924677	0.47950693804479005
0.3899999999999999	0.6319642880177349	0.47393929897516746
0.3999999999999999	0.6291584815416383	0.4678247569372297
0.4100000000000001	0.6260066733129898	0.46063505561090595
0.4200000000000001	0.622631343255751	0.45256018204819093
0.4300000000000001	0.618979393802458	0.444038007822129
0.4400000000000001	0.6149152161668777	0.4350552468752009
0.4500000000000001	0.6103123578814568	0.42548916033418127
0.46000000000000013	0.6054551173922681	0.41532969072344017
0.46999999999999986	0.6002927207620908	0.40482910944733796
0.47999999999999987	0.594644790485411	0.3942540915790195
0.4899999999999999	0.5884836556686769	0.38265433914188424
0.4999999999999999	0.582161612483323	0.37076913182609184
0.5099999999999999	0.5750940227933145	0.358078642316502
0.5199999999999999	0.5673912307661598	0.3454553486223921
0.5299999999999999	0.5592484727077932	0.3326140215280885
0.5399999999999999	0.5504183954448055	0.318900269973678
0.5499999999999999	0.5409885120086942	0.3048147754828208
0.5599999999999998	0.5312009535484518	0.29099722664574956
0.5699999999999998	0.5202368072249309	0.27699937927197554
0.5799999999999998	0.5084787402741723	0.2621740777996729
0.5899999999999999	0.49662561503312774	0.24763451317347585
0.5999999999999999	0.48359358247886275	0.23348427865249072
0.6099999999999999	0.46899367995923613	0.22085559225440726
0.6199999999999999	0.4553627430206294	0.20402618705403813
0.6299999999999999	0.44010701862865986	0.18982726799807026
0.6399999999999999	0.42423082285745906	0.17622769738157285
0.6499999999999999	0.4074744725932534	0.16202106963730023
0.6600000000000001	0.3900046378724832	0.1485167286597765
0.6700000000000002	0.3715882915729781	0.1356287370121847
0.6800000000000002	0.35197338139456036	0.1228455201507399
0.6900000000000002	0.33204926394531753	0.11033332888024527
0.7000000000000001	0.31127592622656663	0.09875581777317766
0.7100000000000001	0.2908732040641212	0.08804573749669575
0.7200000000000001	0.2679638526389626	0.07685319218214792
0.7300000000000001	0.24556636951070387	0.06636942855489225
0.7399999999999999	0.22284984142342545	0.0570264663138077
0.7499999999999999	0.19915461350354213	0.048011905501129326
0.7599999999999999	0.17508101417447197	0.03973405166038657
0.7699999999999999	0.15099054910341803	0.032704314773176923
0.7799999999999999	0.12617926842713156	0.026911718431559595
0.7899999999999999	0.10015092355121225	0.02162618859874077
0.7999999999999999	0.07578607863031184	0.017836013006350737
0.8099999999999998	0.04962794648454816	0.015152698515418339
0.8199999999999998	0.023721000173443807	0.01325169076996724
0.8299999999999998	-0.0018871065046054403	0.013073066963071756
0.8399999999999999	-0.027862567567247254	0.013690424650192878
0.8499999999999999	-0.05355825390991853	0.016169782725350745
0.8599999999999999	-0.07883697247887	0.01882520576111979
0.8699999999999999	-0.1051085255743982	0.02328167816596538
0.8799999999999999	-0.12906610044456035	0.02791527090404322
0.8899999999999999	-0.15369536263002737	0.03356881295091407
0.8999999999999999	-0.17788361257951035	0.04040837987794377
0.9100000000000001	-0.20078058770617802	0.04809747539052056
0.9200000000000002	-0.22416643902795297	0.05587433368351524
0.9300000000000002	-0.24628423287501156	0.06570340683758968
0.9400000000000002	-0.26710526174949356	0.0759186997189717
0.9500000000000001	-0.289190192220835	0.08744436405778344
0.9600000000000001	-0.3077956996748355	0.09853703217985244
0.9700000000000001	-0.327452131706167	0.11016742176748784
0.9800000000000001	-0.34697666529699783	0.12166628614047692
0.9900000000000001	-0.3640848573454342	0.13473769798224877
0.9999999999999999	-0.3810170469889669	0.1482056523488433
1.0099999999999998	-0.3969368493735459	0.16131113061299007
1.0199999999999998	-0.41189405726621836	0.17494769974831037
1.03	-0.42634037307257416	0.18923053142714252
1.04	-0.43995794012328887	0.20283431392046825
